pedid	animal_id	tag_id	id_herd	province	district	ward	wardno	birthdate	milkingdate	calvingyear	animalid_calvingyear	calvingdate	calvingmonth	dim	parity	age_y	age_m	milkam	milkpm	totalmilk	fat_p	prot_p	snf
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	11/02/2023	2023	3_2023	12/01/2023	January	30	2	9	113	2.2	2.2	4.4	4.2	3.4	10.2
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	13/03/2023	2023	3_2023	12/01/2023	January	60	2	9	114	2.2	2.2	4.4	8.1	4.3	11.3
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	12/04/2023	2023	3_2023	12/01/2023	January	90	2	9	115	3	2.5	5.5	6.8	3.6	9.9
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	15/06/2023	2023	3_2023	12/01/2023	January	154	2	9	117	2.2	2.2	4.4	6.6	4.1	11.4
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	13/07/2023	2023	3_2023	12/01/2023	January	182	2	9	118	2.3	2.3	4.6	6.8	3.7	10
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	17/10/2023	2023	3_2023	12/01/2023	January	278	2	10	121	1.4	0	1.4	8.7	3.4	10.5
457	3	3	423214501	Daki	Aski	Khara	14	29/08/2013	14/01/2024	2024	3_2024	14/01/2024	January	0	3	10	124	1.3	0	1.3	6.5	3.9	10.2
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	15/10/2022	2022	6_2022	15/10/2022	October	0	1	8	101	2.2	2.2	4.4	6.4	4.1	11.3
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	15/11/2022	2022	6_2022	15/10/2022	October	31	1	8	102	2.2	2.2	4.4	5.5	3.4	10.6
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	15/12/2022	2022	6_2022	15/10/2022	October	61	1	8	103	2.2	2.2	4.4	5.7	4.1	11.2
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	12/01/2023	2023	6_2023	12/01/2023	January	0	2	8	104	3.5	3	6.5	5	3.5	9.5
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	12/01/2023	2023	6_2023	12/01/2023	January	0	2	8	104	3.5	3	6.5	5	3.5	9.5
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	11/02/2023	2023	6_2023	12/01/2023	January	30	2	8	105	2.2	2.2	4.4	5.2	3.6	10.4
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	11/02/2023	2023	6_2023	12/01/2023	January	30	2	8	105	2.2	2.2	4.4	5.2	3.6	10.4
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	13/03/2023	2023	6_2023	12/01/2023	January	60	2	8	106	2.2	2.2	4.4	7.8	3.8	10.4
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	12/04/2023	2023	6_2023	12/01/2023	January	90	2	8	107	4	3	7	7.4	3.5	9.7
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	15/06/2023	2023	6_2023	12/01/2023	January	154	2	9	109	2.2	2.2	4.4	4.7	3.5	9.6
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	13/07/2023	2023	6_2023	12/01/2023	January	182	2	9	110	3	5.7	8.7	6.3	3.6	9.9
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	17/10/2023	2023	6_2023	12/01/2023	January	278	2	9	113	2.3	0	2.3	9	4.2	11.6
462	6	6	423214501	Daki	Aski	Khara	14	29/04/2014	14/01/2024	2024	6_2024	14/01/2024	January	0	3	9	116	0	2.5	2.5	7.5	4.2	11.5
471	11	11	381608001	Daki	Rkha	Alung	7	18/04/2015	26/12/2019	2019	11_2019	26/12/2019	December	0	1	4	56	3	3	6	0.89	3.12	8.52
471	11	11	381608001	Daki	Rkha	Alung	7	18/04/2015	27/01/2020	2020	11_2020	27/01/2020	January	0	2	4	57	3	3.3	6.3	1	3.6	9.7
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	14/09/2022	2022	14_2022	14/09/2022	September	0	1	6	76	2.7	2.4	5.1	5.6	3.2	8.9
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	15/10/2022	2022	14_2022	14/09/2022	September	31	1	6	77	2.7	2.4	5.1	5.8	3.4	10.3
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	15/11/2022	2022	14_2022	14/09/2022	September	62	1	6	78	2.7	2.4	5.1	5.8	3.8	10.6
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	15/12/2022	2022	14_2022	14/09/2022	September	92	1	6	79	2.7	2.4	5.1	6.4	3.6	9.8
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	12/01/2023	2023	14_2023	12/01/2023	January	0	2	6	80	4	2.5	6.5	5.4	4.3	12
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	12/01/2023	2023	14_2023	12/01/2023	January	0	2	6	80	4	2.5	6.5	5.4	4.3	12
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	11/02/2023	2023	14_2023	12/01/2023	January	30	2	6	81	2.7	2.4	5.1	7.1	3.6	9.4
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	11/02/2023	2023	14_2023	12/01/2023	January	30	2	6	81	2.7	2.4	5.1	7.1	3.6	9.4
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	13/03/2023	2023	14_2023	12/01/2023	January	60	2	6	82	2.7	2.4	5.1	6.9	3.7	10.3
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	12/04/2023	2023	14_2023	12/01/2023	January	90	2	6	83	3	2	5	6.7	3.7	10.1
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	15/06/2023	2023	14_2023	12/01/2023	January	154	2	7	85	2.7	2.4	5.1	9.4	3.9	10.8
479	14	14	423214501	Daki	Aski	Khara	14	22/04/2016	14/01/2024	2024	14_2024	14/01/2024	January	0	3	7	92	4.6	3.2	7.8	3.7	3.6	9.8
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	15/11/2022	2022	29_2022	15/11/2022	November	0	1	6	82	2.2	2.2	4.4	4.9	3.7	10.3
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	15/12/2022	2022	29_2022	15/11/2022	November	30	1	6	83	2.2	2.2	4.4	5.9	4	11.2
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	12/01/2023	2023	29_2023	12/01/2023	January	0	2	7	84	3.5	2.5	6	4.3	4.1	11.3
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	12/01/2023	2023	29_2023	12/01/2023	January	0	2	7	84	3.5	2.5	6	4.3	4.1	11.3
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	11/02/2023	2023	29_2023	12/01/2023	January	30	2	7	85	2.2	2.2	4.4	6.2	3.9	10.8
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	11/02/2023	2023	29_2023	12/01/2023	January	30	2	7	85	2.2	2.2	4.4	6.2	3.9	10.8
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	13/03/2023	2023	29_2023	12/01/2023	January	60	2	7	86	2.2	2.2	4.4	6.1	4	11
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	12/04/2023	2023	29_2023	12/01/2023	January	90	2	7	87	3.5	3	6.5	6.5	4.3	10.5
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	15/06/2023	2023	29_2023	12/01/2023	January	154	2	7	89	2.2	2.2	4.4	7.6	3.9	10.8
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	13/07/2023	2023	29_2023	12/01/2023	January	182	2	7	90	2.8	1.8	4.6	7	3.7	10.2
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	17/10/2023	2023	29_2023	12/01/2023	January	278	2	7	93	2	1.5	3.5	9.9	4.2	11.6
494	29	29	423214501	Daki	Aski	Khara	14	01/01/2016	14/01/2024	2024	29_2024	14/01/2024	January	0	3	8	96	0	1.3	1.3	9.9	4.1	11.4
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	14/09/2022	2022	38_2022	14/09/2022	September	0	1	9	113	2.2	2.2	4.4	9	3.7	10.2
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	15/10/2022	2022	38_2022	14/09/2022	September	31	1	9	114	2.2	2.2	4.4	7.4	3	8.9
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	15/11/2022	2022	38_2022	14/09/2022	September	62	1	9	115	2.2	2.2	4.4	5	3.3	9.8
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	15/12/2022	2022	38_2022	14/09/2022	September	92	1	9	116	2.2	2.2	4.4	6.8	4.2	11.7
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	12/01/2023	2023	38_2023	12/01/2023	January	0	2	9	116	3	2	5	5.4	3.7	10.3
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	12/01/2023	2023	38_2023	12/01/2023	January	0	2	9	116	3	2	5	5.4	3.7	10.3
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	11/02/2023	2023	38_2023	12/01/2023	January	30	2	9	117	2.2	2.2	4.4	6.3	3.6	11.4
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	11/02/2023	2023	38_2023	12/01/2023	January	30	2	9	117	2.2	2.2	4.4	6.3	3.6	11.4
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	13/03/2023	2023	38_2023	12/01/2023	January	60	2	9	119	2.2	2.2	4.4	5.9	4.1	11.2
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	12/04/2023	2023	38_2023	12/01/2023	January	90	2	9	119	3	2.5	5.5	6.4	4	11
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	15/06/2023	2023	38_2023	12/01/2023	January	154	2	10	122	2.2	2.2	4.4	6.6	3.8	10.5
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	13/07/2023	2023	38_2023	12/01/2023	January	182	2	10	123	2	0	2	5.4	3.9	9.3
502	38	38	423214501	Daki	Aski	Khara	14	13/04/2013	17/10/2023	2023	38_2023	12/01/2023	January	278	2	10	126	3.2	2.2	5.4	5.2	3.7	10.3
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	15/11/2022	2022	39_2022	15/11/2022	November	0	1	10	126	2.2	2.2	4.4	6	3.4	9.9
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	15/12/2022	2022	39_2022	15/11/2022	November	30	1	10	127	2.2	2.2	4.4	6.8	4.3	11.7
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	12/01/2023	2023	39_2023	12/01/2023	January	0	2	10	128	2.5	2	4.5	5.5	4.1	11.4
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	12/01/2023	2023	39_2023	12/01/2023	January	0	2	10	128	2.5	2	4.5	5.5	4.1	11.4
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	11/02/2023	2023	39_2023	12/01/2023	January	30	2	10	128	2.2	2.2	4.4	6.3	3.6	11.2
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	11/02/2023	2023	39_2023	12/01/2023	January	30	2	10	128	2.2	2.2	4.4	6.3	3.6	11.2
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	13/03/2023	2023	39_2023	12/01/2023	January	60	2	10	130	2.2	2.2	4.4	5.8	4	10.2
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	12/04/2023	2023	39_2023	12/01/2023	January	90	2	10	131	3	2	5	6.7	3.9	8.6
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	15/06/2023	2023	39_2023	12/01/2023	January	154	2	11	133	2.2	2.2	4.4	7.4	3	10.4
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	13/07/2023	2023	39_2023	12/01/2023	January	182	2	11	134	2.6	3.2	5.8	5.2	3.4	9.4
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	17/10/2023	2023	39_2023	12/01/2023	January	278	2	11	137	1.2	1.3	2.5	8.4	4	11.1
504	39	39	423214501	Daki	Aski	Khara	14	12/05/2012	14/01/2024	2024	39_2024	14/01/2024	January	0	3	11	140	2.2	0	2.2	9.2	3.8	10.5
507	42	42	423214501	Daki	Aski	Khara	14	25/04/2013	13/07/2023	2023	42_2023	13/07/2023	July	0	1	10	122	4.2	2.8	7	4.8	3.7	10.2
507	42	42	423214501	Daki	Aski	Khara	14	25/04/2013	17/10/2023	2023	42_2023	13/07/2023	July	96	1	10	125	3.8	3.1	6.9	5	3.7	10.2
507	42	42	423214501	Daki	Aski	Khara	14	25/04/2013	14/01/2024	2024	42_2024	14/01/2024	January	0	2	10	128	4	3.3	7.3	5.4	3.8	10.5
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	14/09/2022	2022	44_2022	14/09/2022	September	0	1	8	103	2.2	2.2	4.4	6.2	3.5	9.6
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	15/10/2022	2022	44_2022	14/09/2022	September	31	1	8	104	2.2	2.2	4.4	6.3	3.6	10.2
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	15/11/2022	2022	44_2022	14/09/2022	September	62	1	8	105	2.2	2.2	4.4	6.4	3.9	10.6
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	15/12/2022	2022	44_2022	14/09/2022	September	92	1	8	106	2.2	2.2	4.4	5.9	3.2	9.7
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	12/01/2023	2023	44_2023	12/01/2023	January	0	2	8	107	3.5	3	6.5	7.2	4	10.9
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	12/01/2023	2023	44_2023	12/01/2023	January	0	2	8	107	3.5	3	6.5	7.2	4	10.9
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	11/02/2023	2023	44_2023	12/01/2023	January	30	2	9	108	2.2	2.2	4.4	7	3.9	10.8
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	11/02/2023	2023	44_2023	12/01/2023	January	30	2	9	108	2.2	2.2	4.4	7	3.9	10.8
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	13/03/2023	2023	44_2023	12/01/2023	January	60	2	9	109	2.2	2.2	4.4	9.3	4.1	11.2
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	12/04/2023	2023	44_2023	12/01/2023	January	90	2	9	110	3	2	5	7.5	4.3	11.7
510	44	44	423214501	Daki	Aski	Khara	14	01/02/2014	15/06/2023	2023	44_2023	12/01/2023	January	154	2	9	112	2.2	2.2	4.4	7.3	4.8	11.8
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	15/10/2022	2022	51_2022	15/10/2022	October	0	1	12	153	2.2	2.2	4.4	4.4	3.6	10
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	15/11/2022	2022	51_2022	15/10/2022	October	31	1	12	154	2.2	2.2	4.4	5.8	4	10.9
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	15/12/2022	2022	51_2022	15/10/2022	October	61	1	12	155	2.2	2.2	4.4	6.8	3.6	9.9
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	12/01/2023	2023	51_2023	12/01/2023	January	0	2	13	156	4	3	7	5.7	4.2	11.5
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	12/01/2023	2023	51_2023	12/01/2023	January	0	2	13	156	4	3	7	5.7	4.2	11.5
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	11/02/2023	2023	51_2023	12/01/2023	January	30	2	13	157	2.2	2.2	4.4	6.4	3.4	10.2
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	11/02/2023	2023	51_2023	12/01/2023	January	30	2	13	157	2.2	2.2	4.4	6.4	3.4	10.2
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	13/03/2023	2023	51_2023	12/01/2023	January	60	2	13	158	2.2	2.2	4.4	6.9	4.2	11.6
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	12/04/2023	2023	51_2023	12/01/2023	January	90	2	13	159	3	3	6	5.6	4.1	11.2
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	15/06/2023	2023	51_2023	12/01/2023	January	154	2	13	161	2.2	2.2	4.4	5.9	4.3	11.7
517	51	51	423214501	Daki	Aski	Khara	14	10/01/2010	13/07/2023	2023	51_2023	12/01/2023	January	182	2	13	162	3	0	3	7.8	3.9	10.8
519	52	52	423214501	Daki	Aski	Khara	14	10/06/2011	13/07/2023	2023	52_2023	13/07/2023	July	0	1	12	145	3.5	3	6.5	4	3.7	9.2
519	52	52	423214501	Daki	Aski	Khara	14	10/06/2011	17/10/2023	2023	52_2023	13/07/2023	July	96	1	12	148	1.7	2.1	3.8	6.8	3.8	10
519	52	52	423214501	Daki	Aski	Khara	14	10/06/2011	14/01/2024	2024	52_2024	14/01/2024	January	0	2	12	151	1.7	1.6	3.3	7.3	4.3	11.3
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	10/11/2020	2020	60_2020	10/11/2020	November	0	1	4	50	2.2	2.2	4.4	6.4	3.6	10.3
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	15/12/2022	2022	60_2022	15/12/2022	December	0	2	6	75	2.2	2.2	4.4	5.6	3.8	9.7
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	12/01/2023	2023	60_2023	12/01/2023	January	0	3	6	76	6.5	4	10.5	6	3.7	10.2
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	12/01/2023	2023	60_2023	12/01/2023	January	0	3	6	76	6.5	4	10.5	6	3.7	10.2
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	11/02/2023	2023	60_2023	12/01/2023	January	30	3	6	77	2.2	2.2	4.4	5.8	3.6	10.2
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	11/02/2023	2023	60_2023	12/01/2023	January	30	3	6	77	2.2	2.2	4.4	5.8	3.6	10.2
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	13/03/2023	2023	60_2023	12/01/2023	January	60	3	6	78	2.2	2.2	4.4	6.3	3.9	10.8
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	12/04/2023	2023	60_2023	12/01/2023	January	90	3	6	79	4.5	3.5	8	6.2	3.9	10.7
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	15/06/2023	2023	60_2023	12/01/2023	January	154	3	6	81	2.2	2.2	4.4	6.2	3.5	9.6
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	13/07/2023	2023	60_2023	12/01/2023	January	182	3	6	82	2.8	2.4	5.2	7.1	3.8	10.3
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	17/10/2023	2023	60_2023	12/01/2023	January	278	3	7	85	2.4	1.6	4	7.8	3.8	10.5
530	60	60	423214501	Daki	Aski	Khara	14	05/09/2016	14/01/2024	2024	60_2024	14/01/2024	January	0	4	7	88	1.8	1.5	3.3	7.2	3.7	11
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/07/2019	2019	104_2019	12/07/2019	July	0	1	7	84	3	4.5	7.5	7.4	3.8	10.8
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/08/2019	2019	104_2019	12/07/2019	July	31	1	7	85	4	4	8	5.7	3.9	10.8
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/09/2019	2019	104_2019	12/07/2019	July	62	1	7	86	3.8	3.7	7.5	5.8	3.9	10.7
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/10/2019	2019	104_2019	12/07/2019	July	92	1	7	87	3	3	6	5	3.4	9.3
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/11/2019	2019	104_2019	12/07/2019	July	123	1	7	88	3.6	3	6.6	5	3.6	9.3
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/12/2019	2019	104_2019	12/07/2019	July	153	1	7	89	2	2.5	4.5	6.2	3.3	8.9
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/01/2020	2020	104_2020	12/01/2020	January	0	2	7	90	3.5	3	6.5	5.6	3.4	9.3
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/02/2020	2020	104_2020	12/01/2020	January	31	2	7	91	3	2	5	5.9	3.6	9.7
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/04/2020	2020	104_2020	12/01/2020	January	91	2	7	93	4.1	0	4.1	7.2	4.5	12.3
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/08/2020	2020	104_2020	12/01/2020	January	213	2	8	97	4.6	4.4	9	4.1	3.9	10.6
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	25/08/2020	2020	104_2020	12/01/2020	January	226	2	8	98	4.68	4.44	9.12	4.1	3.9	10.6
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/09/2020	2020	104_2020	12/01/2020	January	244	2	8	98	3.4	2.7	6.1	4.1	4	11
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/10/2020	2020	104_2020	12/01/2020	January	274	2	8	99	5.3	4.5	9.8	4.1	4	11
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/11/2020	2020	104_2020	12/01/2020	January	305	2	8	100	4.7	3.5	8.2	5.1	3.9	9.2
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/12/2020	2020	104_2020	12/01/2020	January	335	2	8	101	4.6	3.5	8.1	5.1	3.9	9.2
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/01/2021	2021	104_2021	12/01/2021	January	0	3	8	102	4.9	2.8	7.7	5.4	3.6	9.7
4032	104	104	172406001	Mati	Akha	Jiri	4	25/06/2012	12/02/2021	2021	104_2021	12/01/2021	January	31	3	8	103	4.4	3.5	7.9	5.6	3.5	9.2
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/10/2019	2019	113_2019	12/10/2019	October	0	1	7	93	2	4.1	6.1	2.6	3.4	9.1
4034	113	113	381608001	Daki	Rkha	Alung	7	03/01/2012	27/01/2020	2020	113_2020	27/01/2020	January	0	2	8	96	2	2.2	4.2	0.9	3.5	9.5
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/02/2020	2020	113_2020	27/01/2020	January	16	2	8	97	4.6	3.7	8.3	4.2	3.3	8.8
4034	113	113	381608001	Daki	Rkha	Alung	7	03/01/2012	26/02/2020	2020	113_2020	27/01/2020	January	30	2	8	97	1	1	2	3.2	3.7	10
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/03/2020	2020	113_2020	27/01/2020	January	45	2	8	98	5.1	5	10.1	5.2	3.4	9.3
4034	113	113	381608001	Daki	Rkha	Alung	7	03/01/2012	27/03/2020	2020	113_2020	27/01/2020	January	60	2	8	98	4	3.5	7.5	3.2	3.7	10
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/04/2020	2020	113_2020	27/01/2020	January	76	2	8	99	4.8	5.6	10.4	4.9	4.2	11.5
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/05/2020	2020	113_2020	27/01/2020	January	106	2	8	100	4.4	4.3	8.7	5	4.3	11.5
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/06/2020	2020	113_2020	27/01/2020	January	137	2	8	101	6.5	6	12.5	4.6	4.1	10.8
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/07/2020	2020	113_2020	27/01/2020	January	167	2	8	102	2.7	3.1	5.8	6.3	4	11.1
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/08/2020	2020	113_2020	27/01/2020	January	198	2	8	103	2.7	0	2.7	6.3	3.9	10.8
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	25/08/2020	2020	113_2020	27/01/2020	January	211	2	8	103	2.7	0	2.7	6.3	3.9	10.8
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/11/2020	2020	113_2020	27/01/2020	January	290	2	8	106	4.2	3.6	7.8	3.2	3.4	9.2
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/01/2021	2021	113_2021	12/01/2021	January	0	3	9	108	5.5	4.6	10.1	5.1	3.5	9.3
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	12/02/2021	2021	113_2021	12/01/2021	January	31	3	9	109	4.1	3.5	7.6	4.1	3.3	8.9
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	11/07/2021	2021	113_2021	12/01/2021	January	180	3	9	114	2.9	0	2.9	5.2	3.8	10.4
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	17/08/2021	2021	113_2021	12/01/2021	January	217	3	9	115	2.5	0	2.5	6	3.7	10.1
4034	113	113	172406001	Mati	Akha	Jiri	4	03/01/2012	13/09/2021	2021	113_2021	12/01/2021	January	244	3	9	116	2.2	0	2.2	7	3.7	10.2
